"county","unemp_rate_mar_2020","industry","job_count"
"Avery County",3.2,"accommodation_food_services",706
"Avery County",3.2,"other_services_ex__public_admin",302
"Avery County",3.2,"public_admin",954
"Avery County",3.2,"unclassified",0
"Beaufort County",3.5,"all_industries",15341
"Beaufort County",3.5,"agriculture_forestry_fishing_hunting",669
"Beaufort County",3.5,"mining",NA
"Beaufort County",3.5,"utilities",NA
"Beaufort County",3.5,"construction",623
"Beaufort County",3.5,"manufacturing",2054
"Beaufort County",3.5,"wholesale_trade",965
"Beaufort County",3.5,"retail_trade",2227
"Beaufort County",3.5,"transportation_warehousing",415
"Beaufort County",3.5,"information",76
"Beaufort County",3.5,"finance_insurance",343
"Beaufort County",3.5,"real_estate_rental_leasing",107
"Beaufort County",3.5,"professional_technical_services",304
"Beaufort County",3.5,"mgt_of_companies_enterprises",108
"Beaufort County",3.5,"administrative_waste_services",1256
"Beaufort County",3.5,"educational_services",1346
"Beaufort County",3.5,"health_care_social_assistance",1958
"Beaufort County",3.5,"arts_entertain_recreation",140
"Beaufort County",3.5,"accommodation_food_services",1265
"Beaufort County",3.5,"other_services_ex__public_admin",321
"Beaufort County",3.5,"public_admin",1163
"Beaufort County",3.5,"unclassified",0
"Bertie County",4.9,"all_industries",5515
"Bertie County",4.9,"agriculture_forestry_fishing_hunting",325
"Bertie County",4.9,"mining",NA
"Bertie County",4.9,"utilities",0
"Bertie County",4.9,"construction",37
"Bertie County",4.9,"manufacturing",2094
"Bertie County",4.9,"wholesale_trade",57
"Bertie County",4.9,"retail_trade",274
"Bertie County",4.9,"transportation_warehousing",143
"Bertie County",4.9,"information",11
"Bertie County",4.9,"finance_insurance",57
"Bertie County",4.9,"real_estate_rental_leasing",5
"Bertie County",4.9,"professional_technical_services",35
"Bertie County",4.9,"mgt_of_companies_enterprises",NA
"Bertie County",4.9,"administrative_waste_services",252
"Bertie County",4.9,"educational_services",363
"Bertie County",4.9,"health_care_social_assistance",686
"Bertie County",4.9,"arts_entertain_recreation",47
"Bertie County",4.9,"accommodation_food_services",206
"Bertie County",4.9,"other_services_ex__public_admin",61
"Bertie County",4.9,"public_admin",823
"Bertie County",4.9,"unclassified",0
"Bladen County",4.6,"all_industries",13074
"Bladen County",4.6,"agriculture_forestry_fishing_hunting",711
"Bladen County",4.6,"mining",0
"Bladen County",4.6,"utilities",NA
"Bladen County",4.6,"construction",300
"Bladen County",4.6,"manufacturing",NA
