county,_2016_02_29,_2016_03_31,_2016_04_30,_2016_05_31,_2016_06_30,_2016_07_31,_2016_08_31,_2016_09_30,_2016_10_31,_2016_11_30,_2016_12_31,_2017_01_31,_2017_02_28,_2017_03_31,_2017_04_30,_2017_05_31,_2017_06_30,_2017_07_31,_2017_08_31,_2017_09_30,_2017_10_31,_2017_11_30,_2017_12_31,_2018_01_31,_2018_02_28,_2018_03_31,_2018_04_30,_2018_05_31,_2018_06_30,_2018_07_31,_2018_08_31,_2018_09_30,_2018_10_31,_2018_11_30,_2018_12_31,_2019_01_31,_2019_02_28,_2019_03_31,_2019_04_30,_2019_05_31,_2019_06_30,_2019_07_31,_2019_08_31,_2019_09_30,_2019_10_31,_2019_11_30,_2019_12_31,_2020_01_31,_2020_02_29,_2020_03_31,_2020_04_30,_2020_05_31,_2020_06_30,_2020_07_31,_2020_08_31,_2020_09_30,_2020_10_31,_2020_11_30,_2020_12_31,_2021_01_31,_2021_02_28,_2021_03_31,_2021_04_30,_2021_05_31,_2021_06_30,_2021_07_31,_2021_08_31,_2021_09_30,_2021_10_31,_2021_11_30,_2021_12_31,_2022_01_31,_2022_02_28,_2022_03_31,_2022_04_30,_2022_05_31,_2022_06_30,_2022_07_31,_2022_08_31,_2022_09_30,_2022_10_31,_2022_11_30,_2022_12_31,_2023_01_31,_2023_02_28
Burke County,107575.8063,108008.0509,108565.431,109514.7667,110291.5837,110577.7044,111030.6103,111891.994,113173.7361,114241.4396,114667.7407,114588.3116,114184.6475,114205.1934,114926.564,116002.0339,116943.1319,117566.0976,118294.0507,119143.8156,120088.1102,121092.5635,121883.3928,122202.9995,122295.9789,122853.4907,124091.5636,125375.0926,126447.485,127305.6165,128231.2538,129155.3967,129645.2819,130170.6489,130561.7287,130961.7218,131256.6347,131774.2966,132702.7851,133720.1538,134691.8068,135748.609,137022.6323,138434.4432,139807.5513,140969.8736,141811.5707,142768.3664,144271.2827,146424.661,148538.9829,150333.8317,151725.2878,153356.1187,155424.083,158181.1946,161218.36,164022.8067,166165.639,167899.1322,170128.5858,172963.0308,176405.0728,179611.6472,182915.1139,184987.7216,185646.4503,185288.755,185008.9896,185026.3312,184504.5464,186144.2744,190174.7483,196434.9613,202509.4091,207044.6076,210975.3818,213054.9879,214498.9139,214805.6922,215245.8653,215312.2427,215040.3668,214720.0835,215006.1214
Cabarrus County,174026.0563,175134.6173,175953.7189,176635.4099,177450.6457,178094.5095,178910.8208,179995.7627,181430.826,182893.3753,184280.381,185606.8827,186797.3843,187932.5228,189251.3305,190772.0581,192490.8547,193967.4159,195304.0669,196496.8231,197836.8418,199345.5218,201138.2842,203042.202,204732.1835,206120.0971,207215.6947,208325.9813,209564.3791,210806.2835,211968.6254,213020.6861,214122.8508,215358.2649,216698.992,218145.1525,219450.2341,220462.0182,221254.3389,222215.9255,223280.0977,224198.7643,224878.5953,225496.106,226615.3074,228209.6682,229960.7072,231730.373,233588.006,235720.925,237722.4703,239039.5837,239924.2833,240953.3248,242802.0427,245666.3789,249201.3307,253187.6237,257340.8529,261603.539,266206.399,271074.0359,276126.0707,281158.8834,286219.5015,290702.7356,294465.7538,297560.4592,300906.1038,305153.6207,310030.8063,316355.8084,323695.1138,332035.7631,340215.1998,347434.256,353631.6025,357636.2692,359104.2024,358423.2595,357392.4113,356490.1293,354903.5856,353544.3973,352214.7528
Caldwell County,93047.55973,93510.92059,93729.45748,93957.52985,94461.31985,94836.96398,95379.36937,96132.82648,97252.01417,98233.06042,99092.37083,99638.24563,100178.7069,100764.457,101504.5328,102068.8889,102427.1782,102670.2312,103143.4425,103622.6871,104182.5913,104620.1375,105266.801,106034.2062,107085.865,108340.5671,109430.8055,110370.7065,111066.4315,111810.0178,112457.5689,113246.3542,113813.6125,114665.4223,115614.5289,116964.0712,118234.216,119588.9844,120736.1869,121832.0971,122575.6184,123287.8581,123905.5413,124593.1958,125267.3994,126057.1201,126862.7883,127723.3563,128727.8792,129735.5816,130654.1574,131259.3773,131758.0683,132601.498,134165.5779,136610.3114,139462.1727,142602.9565,145670.8821,148318.4256,150829.3846,153191.5579,155735.0291,158212.7448,161103.0371,162783.3965,162939.146,161637.5454,160800.3845,160750.725,160956.54,163808,168775.6253,175535.0677,181432.7762,186185.8016,190165.2222,192691.0267,193949.2378,194083.4754,194163.7649,194195.2691,194407.6041,194955.5261,194978.6783
Camden County,201141.7991,200704.2193,200625.6967,201358.7138,202597.526,203782.889,204567.9327,205720.8636,207281.6832,209005.0102,210480.0581,211702.7616,212592.1032,213197.1549,213907.0531,214519.1314,215185.8042,215865.6732,216728.6989,218017.0657,219328.4038,220687.2712,221665.1922,222531.0127,223431.9487,225027.4485,226968.8745,228744.132,230152.5634,231386.2231,232446.4447,233007.357,232745.7444,232283.0254,232101.6826,232609.1807,233515.4331,234571.6143,235580.9116,236446.027,236829.6769,236967.99,236954.3215,237024.5248,237432.1158,238469.7134,240248.2649,241878.1257,243325.5496,244344.5958,245397.5076,245887.489,246375.7452,247116.7714,249134.8444,252373.0128,256021.0723,259820.2391,263421.3426,266951.3902,270379.3742,273343.1868,276291.5185,279252.6103,281942.9184,284220.0283,285357.8853,286114.9888,287152.7661,288973.3896,290968.7245,293876.3398,297326.9527,301857.5355,306328.1914,310166.8846,312545.5657,313382.3327,313215.2116,312667.687,312378.5749,311805.2404,311214.1026,313090.5971,316607.3539
Carteret County,222760.8519,223606.8222,224229.3692,225351.5458,226647.097,227410.0978,227915.89,228357.4126,229435.6147,230616.0131,231281.9203,231485.8344,231437.6355,231782.9706,232508.1869,233495.7931,234630.4287,235658.582,236533.7891,237158.4272,237730.3814,238395.7669,239440.8935,240447.4221,241139.108,241929.4703,243170.1645,244741.1933,245900.8552,246604.4275,247332.5356,248252.5473,249288.356,250190.8117,250876.3861,251482.7597,252174.4076,253111.2193,254055.5043,255020.845,256156.0493,257432.6674,258684.4366,259372.2203,260156.4712,261331.0047,262985.9932,264014.8223,264894.7118,265660.6663,266869.2298,267385.3876,267793.6981,268688.87,271297.5104,,,285741.3354,291280.2037,296247.5116,301851.2014,307247.3978,313237.5964,319586.8295,326239.0909,332550.9079,337597.9178,341490.5068,345003.6969,349062.4492,353790.7566,360399.9895,367905.6828,376940.4322,385355.9819,393572.8521,399949.1861,404068.3833,405686.7467,405941.2553,407027.9535,408255.7056,408729.5124,408240.9922,408569.2517
Caswell County,90100.04617,90177.48999,90077.03402,90268.17822,90767.97256,90968.03221,90887.30724,90854.09343,91266.71261,91885.66202,92343.88367,92369.92163,92113.93002,91772.24372,91748.21128,91890.14324,92021.33531,92309.42433,92859.12649,93535.49845,94087.09886,94432.57489,94853.29814,95377.50232,95837.82786,96501.89901,97078.11526,97557.97441,97669.78921,97653.41331,97681.56203,97770.50524,97656.68377,97776.78216,98170.34146,98745.0605,99161.06981,99581.45617,99921.10704,100325.6718,100749.5538,101466.9945,102084.8284,102412.9161,102888.9772,103454.4811,104087.7947,104651.4191,105690.6035,107255.7465,108841.0473,109863.6437,110469.8742,110887.3011,111969.8815,113591.2309,116011.3349,118768.087,121860.4991,124672.29,127211.7023,129435.3794,131547.3889,133930.967,136721.7118,138204.9879,137802.7116,135499.3342,133991.1927,133787.555,134268.6753,136534.81,139821.2068,143903.4129,147045.7472,149513.9232,152209.7483,154606.8998,156200.1292,156359.3531,155859.3442,155089.4927,154745.4259,156023.4661,158094.094
Catawba County,125759.1238,126147.574,126451.3739,126729.6669,127106.1598,127492.4905,128111.7579,128965.1263,129879.9259,130731.0886,131382.9974,131890.8664,132236.1882,132532.5917,133059.2532,133558.9292,134209.7784,134966.755,135822.2385,136686.591,137480.9523,138359.8128,139183.4093,139867.8899,140483.6654,141178.674,141902.0118,142705.0082,143739.383,145007.4525,146360.1906,147687.0261,148746.5853,149793.427,150963.0939,152246.0184,153544.5771,154692.3711,155688.3304,156508.278,157185.2148,157849.2311,158667.9783,159577.5643,160883.5099,162348.8851,163913.2153,165091.827,166046.2795,166978.9777,168019.0129,168877.3818,169663.7319,170833.378,172968.4681,175836.1548,179203.6347,182613.5895,185911.5944,188930.8308,192274.2025,195709.5083,199466.5132,203176.3096,207271.9799,210100.5073,211304.7092,211028.1616,210862.378,211482.2629,212708.5645,216192.4626,221390.7359,227908.7653,233852.3027,238551.154,242609.1103,245152.6494,246582.4715,246995.0758,247747.1176,248599.0082,248965.6717,249083.5551,249462.1657
Chatham County,279734.2162,280794.8034,281448.768,281938.2116,282898.2877,284140.5702,285484.3988,287023.09,288757.0407,290720.7726,292578.3306,294146.3046,295263.2275,296053.3424,297254.8217,298909.0995,301022.2241,303019.5226,304635.1015,306060.8413,307567.9177,309192.5476,310774.3353,312220.5157,313626.1591,315122.3482,316372.087,317373.0374,317754.7054,318005.9867,318440.9532,318987.3782,319477.2112,320031.6751,321186.834,322956.4247,324924.0939,327193.2958,329307.0411,331019.0599,332052.3849,332408.5055,332708.9195,332866.3602,333641.8342,335148.6353,337389.1822,339555.019,341520.898,343463.3053,345057.8392,345839.4544,345755.3353,346149.3826,348108.16,352161.5288,357356.1908,362797.7314,367877.1287,372484.2065,377361.1377,382015.4228,387433.4576,393800.9646,400726.656,407034.2937,412065.4688,417223.3468,423008.8479,430050.8367,437423.849,446307.325,455407.9668,465870.684,477397.318,489511.4155,500392.3437,506588.8614,508211.9439,506490.9039,505304.3157,504741.1158,503848.7762,502070.3695,500630.6765
Cherokee County,123273.3449,124381.4119,125408.4749,126305.1392,127126.2153,127410.2211,127675.7602,128043.9169,128871.7508,129793.7278,130870.6923,131924.916,132748.6643,133396.3056,133839.3347,134378.7486,134805.4717,135299.7234,135731.2473,136419.6454,137296.1533,138396.6517,139557.3407,140597.7998,141503.708,142229.7861,142818.5088,143164.8749,143620.8819,144261.9214,145182.7526,146277.1566,147357.7558,148310.5887,149185.5854,150056.5735,151185.938,152514.22,153814.704,154592.9383,155164.5602,155723.4538,156467.3223,156918.534,157531.1828,158415.7454,159510.8505,160631.9768,161892.1885,163470.6367,164883.4807,165799.3877,166394.3167,167389.875,169651.8833,172777.4086,176724.2349,180674.3955,184903.7287,188523.5335,192348.5069,196091.1517,200168.9266,204744.4468,209413.3729,214161.334,217532.9428,220231.1589,221856.8708,223570.1617,225229.1996,228885.6403,234292.1357,241085.0734,248104.0054,254424.2598,259996.4915,263292.5546,264698.3879,264207.4526,263283.1186,262357.6294,261228.7691,261354.8342,261662.7516
Chowan County,104749.6254,104782.3557,104960.863,104959.1508,104771.2073,104384.3862,104213.6006,104353.5144,104928.7819,105722.983,106128.2361,106407.6969,106576.1213,107084.4566,107594.9145,107936.1304,107868.9523,106864.2794,105356.5901,103793.6116,102881.8331,102723.8986,102938.2574,103593.1077,104373.7545,105853.1952,107347.9224,108579.7802,108937.264,108937.9475,109099.1325,109648.9598,110089.0802,110720.7602,111181.1336,111973.2563,112848.8535,113846.2834,114467.9672,114434.2543,114191.1761,113871.1278,113596.0456,113294.633,113332.2827,113445.9321,113544.7486,113627.6534,114012.2605,114933.8946,115965.2885,116627.868,116853.7896,116917.6134,117432.7755,118716.7323,120856.1676,123703.6917,126659.1967,129638.6934,132496.3229,135207.398,137297.0715,139294.592,141502.5854,143087.9762,143260.4899,142117.2529,141507.6639,141922.3656,143051.5347,145768.2376,149847.114,155232.2983,160417.1259,164792.4408,168405.6498,170822.7508,172184.694,172468.8439,172399.3943,172122.107,171939.099,172481.4295,173751.3317
