county,_2016_02_29,_2016_03_31,_2016_04_30,_2016_05_31,_2016_06_30,_2016_07_31,_2016_08_31,_2016_09_30,_2016_10_31,_2016_11_30,_2016_12_31,_2017_01_31,_2017_02_28,_2017_03_31,_2017_04_30,_2017_05_31,_2017_06_30,_2017_07_31,_2017_08_31,_2017_09_30,_2017_10_31,_2017_11_30,_2017_12_31,_2018_01_31,_2018_02_28,_2018_03_31,_2018_04_30,_2018_05_31,_2018_06_30,_2018_07_31,_2018_08_31,_2018_09_30,_2018_10_31,_2018_11_30,_2018_12_31,_2019_01_31,_2019_02_28,_2019_03_31,_2019_04_30,_2019_05_31,_2019_06_30,_2019_07_31,_2019_08_31,_2019_09_30,_2019_10_31,_2019_11_30,_2019_12_31,_2020_01_31,_2020_02_29,_2020_03_31,_2020_04_30,_2020_05_31,_2020_06_30,_2020_07_31,_2020_08_31,_2020_09_30,_2020_10_31,_2020_11_30,_2020_12_31,_2021_01_31,_2021_02_28,_2021_03_31,_2021_04_30,_2021_05_31,_2021_06_30,_2021_07_31,_2021_08_31,_2021_09_30,_2021_10_31,_2021_11_30,_2021_12_31,_2022_01_31,_2022_02_28,_2022_03_31,_2022_04_30,_2022_05_31,_2022_06_30,_2022_07_31,_2022_08_31,_2022_09_30,_2022_10_31,_2022_11_30,_2022_12_31,_2023_01_31,_2023_02_28
Clay County,142816.7417,144660.9172,145794.9302,146616.6542,147302.2434,147776.9402,148549.5181,149311.2983,150038.0613,150570.1848,151359.1997,152144.6941,152597.4545,152361.3687,151929.8081,151615.3714,151818.4798,152403.8833,153297.1433,154258.6424,155280.9169,156289.2826,157219.6327,158206.4496,158959.3904,160130.2931,161528.4234,163188.5763,164623.5336,165790.4114,167085.0979,168214.2844,169336.6286,170212.9031,170992.8969,171562.0304,172017.6893,172390.3021,172712.7888,172804.716,173306.419,174157.5861,175331.2353,176222.1264,177187.9335,178114.388,178938.6275,179716.0676,180914.0044,182361.8801,183514.1876,184200.4388,185024.8727,186710.6252,189766.1524,193685.6139,198072.2746,202404.3042,207341.274,212026.0343,217013.8216,221869.9922,226750.1505,232165.9106,237990.651,244042.871,247619.2945,249225.1739,249667.8355,250606.8522,252262.3623,256301.3792,262333.1294,270368.7771,278880.1486,287730.3135,295238.6899,299763.7843,301446.2099,300735.7418,299956.574,298413.058,295923.9829,293861.7879,293006.5913
Cleveland County,67143.54524,67076.32103,67128.91424,67145.36358,67491.19864,67651.94146,67956.93475,68176.611,68756.2303,69213.06055,69687.50753,69900.66596,69991.57297,69909.81088,69809.21208,69781.17938,69821.25477,70156.90004,70609.40165,71112.75751,71588.51794,72134.2133,72794.6152,73458.60132,73870.59148,74334.63583,74761.64119,75364.50384,75816.06538,76297.84452,76630.59167,77004.93516,77032.64819,77660.9,78695.73718,80106.55493,81242.82853,82632.88578,84356.11551,86157.81674,87399.36776,88069.22307,88463.79231,88707.17094,89243.26127,89976.55263,90778.27118,91099.79787,91210.43778,91686.77999,92938.35658,94293.56896,95306.27912,96088.05339,97620.02413,100077.552,102718.5243,104649.8235,106085.412,107459.2515,109043.3953,110384.4562,111556.4775,113084.7799,115278.7153,116976.1282,117573.4741,117080.9488,116777.3633,117460.9467,118518.6963,121077.1445,123896.0239,126572.6441,128405.5745,130069.4588,132413.5659,134508.7441,135908.67,136041.6996,135548.4637,135099.7248,134645.9623,137861.9924,141619.5758
Columbus County,73518.85204,74044.9561,74586.24077,75035.03278,75698.83621,76253.62171,76593.88471,76808.63288,77195.19925,77797.36391,78186.71378,78339.77698,78429.7725,78497.81157,78852.50808,79267.58736,79546.83224,79624.48268,79803.02734,80211.59276,80868.45079,81617.1013,82589.23624,83478.59199,84081.62079,84564.23359,84629.09401,84237.76231,83592.24451,83133.71103,83136.17616,83356.15397,83350.71525,83363.79128,83230.42798,83638.33792,84587.4237,85966.40431,86814.2277,86724.9073,86224.32225,86057.61684,86402.02999,86648.5601,86961.88574,87229.59346,87713.30567,88011.48605,88511.90739,89478.166,90813.83557,92031.53793,93045.74354,93861.80716,94902.04914,96484.43192,98438.28386,100071.1211,101016.4715,101620.0498,102195.8042,102983.3659,103810.1429,105661.9766,108289.6521,111037.0463,112678.6399,113562.7417,114536.6382,116337.664,117997.2055,120155.4492,122645.8723,125399.7451,128267.5885,130782.0954,133278.0712,134720.2813,135151.0167,134134.735,132842.4809,131311.9678,130389.2251,133736.6851,138319.2557
Craven County,135335.8732,135467.2689,135662.3074,135809.8995,136198.1379,136591.3809,137231.0081,137911.096,138590.559,139123.3384,139608.9111,140019.1695,140440.1554,140866.7722,141063.3432,141007.7102,140823.2311,140987.7219,141513.044,142145.4984,142667.6364,143207.8137,143913.6466,144720.0005,145295.7409,146017.79,146726.7277,147427.798,147759.0392,148077.2496,148547.8881,149217.1087,149744.7434,150267.9573,150812.1097,151232.0378,151509.4043,151748.2352,152311.5224,153111.2692,154028.2955,154904.6604,155707.1106,156452.9861,157364.6223,158567.6405,159774.5924,160847.5,161573.1368,162333.8398,163107.0212,163618.5674,163935.5726,164377.1781,165444.7572,167040.0419,169075.1055,171275.0947,173536.84,175628.7685,177805.1148,180090.9065,182601.9467,185442.7525,188503.537,191211.338,192935.811,193785.3244,194432.0218,195561.638,197152.8219,200332.7349,204737.3593,209946.7403,214686.669,218593.3897,221966.9477,224105.9039,225158.0398,225604.7762,226266.8282,227298.5021,228221.9495,229603.8301,231213.5645
Cumberland County,111792.8874,111618.3202,111395.7492,111095.605,110965.6838,110735.0994,111017.6885,111465.6589,112081.3549,112559.2391,113039.4794,113333.7938,113198.6893,112971.1535,112859.0261,113060.3602,113350.4998,113644.756,113857.6691,114032.633,114252.0601,114493.1078,114582.5655,114785.3426,114938.2349,115225.7773,115409.8626,115650.5645,115981.0025,116238.208,116487.5304,116903.8873,117319.0063,117814.5306,118231.6151,118458.0709,118565.951,118724.6255,119076.8617,119306.7331,119388.7422,119400.5616,119459.2627,119462.534,119784.605,120448.3356,121225.5436,122344.3306,123785.9196,125534.4011,126847.3696,127496.9732,127774.3197,128032.4648,128624.003,129642.4097,131077.9097,132945.0232,135082.8891,137571.1426,140287.0066,143011.8937,145308.7202,147384.556,149557.3021,151272.4628,152047.1714,151905.347,151842.5722,152385.1166,153304.0826,155984.2908,159810.6309,164423.7532,168196.1846,171418.2354,174567.2033,177111.8218,178741.809,179763.3803,181254.9738,182964.7195,184630.8783,186201.731,188529.0858
Currituck County,291267.1715,291286.4971,291845.8619,292426.9995,293183.6535,293866.205,295109.8116,296575.1096,298423.1793,300036.0441,301466.167,302142.17,302571.4178,302814.1118,303782.313,304521.1664,305399.8568,305911.649,307322.9848,309165.2672,311356.3411,312844.683,314238.2371,314923.4431,315267.4585,315211.6351,315193.4796,315343.8645,315072.8478,314882.5219,314925.784,315358.118,316248.4579,317508.198,318790.876,319523.7141,320148.9337,321234.567,322773.0605,323799.3239,323852.9979,323488.555,323448.5658,323966.962,325182.274,327017.1473,329365.7916,331552.4356,333550.5847,335205.4006,336831.4043,337624.3476,338139.538,338678.8576,340618.2597,344136.3106,348920.534,354431.7428,360772.9017,367642.238,375002.9379,381915.4101,389519.896,398122.3787,407383.1342,415491.049,421030.0164,424790.3382,428465.5175,432925.8216,438030.7955,444605.9407,453197.0532,463482.7037,473591.2849,482293.7612,489015.2793,492828.2038,493668.7964,492311.233,491247.6765,490304.8335,489244.2511,488616.3849,489468.916
Dare County,302752.6227,301333.3316,300677.8269,301165.6766,302062.4367,302999.5765,303888.3311,305456.6405,307466.1814,309593.0056,311590.7972,312421.1598,313004.1837,313519.7108,314844.1307,316405.5894,317970.886,319338.8567,320129.4882,320262.3124,320515.2813,321155.7226,322537.0871,323171.6649,322906.702,322694.7728,323797.5833,325950.4454,328565.9214,331256.1169,333707.1452,335364.4735,336812.567,338252.5393,340152.923,341034.2744,341921.8431,342503.0895,343387.5308,343923.7932,344041.7232,343702.4127,343129.1522,342701.4771,343171.5084,344227.0944,345538.2554,346504.1064,347247.5106,347789.9535,348295.5973,347996.2564,347612.8126,348201.8365,350896.9857,355881.1334,362102.4865,369258.7595,376479.1918,383393.1391,390050.021,397223.1702,405611.4416,415321.8904,424561.3945,432660.1584,440275.3251,448418.6388,457335.0092,465682.4875,472110.3776,479702.2866,488707.9307,500919.3032,513228.922,525969.4969,537152.1754,544649.9403,546954.5404,546307.9717,545815.355,545678.2937,545125.1146,543620.5625,542727.6438
Davidson County,120268.8952,120639.9882,120617.9199,120406.5149,120196.5062,120176.6659,120357.8488,120739.6749,121270.9344,121821.5523,122462.1734,123098.8716,123718.5716,124352.9495,125046.0628,125662.9452,126125.8351,126589.1362,127263.0315,127935.6438,128570.0562,129355.3551,130342.3372,131300.2421,131941.759,132576.4027,133233.4991,133956.7601,134483.6526,135008.362,135520.1411,136180.9339,136736.893,137392.8993,138131.5124,138985.3532,139815.7613,140703.6967,141536.7758,142191.8077,142793.3903,143340.9776,144148.401,144919.0974,146046.0492,147284.9115,148399.0318,149507.7894,150529.9944,151732.3201,152643.4464,153183.5256,153734.2915,154727.6104,156506.6549,158920.7528,161559.5832,164337.4264,167057.7177,169578.1488,172064.9198,174571.8051,177297.5157,180374.5536,183877.7606,186698.4345,188162.4598,188080.3003,187664.9418,187423.5307,187411.8155,190144.7616,195200.5251,202148.2493,208442.2588,213702.1628,218149.2992,221232.0972,222788.7368,223032.1279,222872.2524,222527.5813,222178.5569,222336.005,223099.7505
Davie County,159203.3665,160179.1685,160886.8835,161467.7924,161695.9747,161743.3689,161764.4472,162169.441,162683.6989,163311.0728,163868.4301,164278.9953,164490.1493,164781.782,165307.4872,165880.4965,166252.0846,166649.2648,167210.4911,168080.3071,168906.8545,169820.967,170700.9353,171600.7925,172413.3207,173311.255,174037.2255,174760.5712,175443.7736,176414.9786,177328.1848,178071.6419,178408.0417,178753.3291,179253.5906,180188.1389,181205.8466,182398.858,183328.0665,184000.5208,184476.7693,184982.4464,185962.4647,186941.945,188246.8581,189428.3433,190703.2834,191702.0953,192691.52,193607.5474,194677.0306,195653.4173,196696.8377,198136.9497,200224.3493,203260.3552,206717.2029,210403.9191,214088.5104,217413.233,220565.5435,223283.5607,226099.9638,229197.2896,232771.4598,235595.5678,236721.2639,236512.7029,236494.7476,237623.058,238996.502,242113.2488,246401.2929,251954.276,257569.0116,262946.9946,267944.0883,270980.0706,271940.8349,271544.2284,271010.1206,270581.9227,270289.7896,269847.6693,269941.7132
Duplin County,75445.09001,75738.37717,76003.5773,76445.01705,76956.53316,77223.76688,77292.55053,77650.47828,78263.37925,78929.74822,79297.96823,79331.95333,79144.6606,78837.35434,78499.69222,78078.21505,77570.04255,77433.64676,77680.43305,78181.60528,78567.9137,78895.19381,79138.62885,79436.41162,79626.15918,80178.83734,80746.09236,81748.50749,82655.85621,83740.7728,84475.11322,85009.20208,85209.45138,85556.33229,86079.90218,86725.67244,86991.15579,87170.44397,87134.90196,87299.17819,87577.17279,87946.31516,88241.00374,88112.83501,88151.48852,88266.24089,88889.36209,89163.49526,89889.20225,90820.51332,91996.2765,93176.18705,94080.49845,95382.65981,96694.60884,98592.86995,100880.903,103692.5879,106432.0834,108861.5585,110576.1219,112088.6683,113598.2805,115682.6592,117900.5504,118485.2049,117471.5127,115519.6038,114703.3794,114852.7714,115098.0377,117328.8055,120924.9793,125999.8579,130420.6461,134131.9263,137686.5713,140371.286,142549.8769,143422.7109,143698.9149,143353.6662,143119.2679,143713.1674,144753.4254
Durham County,191255.1975,192348.1634,193428.6908,194199.3172,195188.0353,196048.95,197369.5305,198904.2841,200623.3162,202088.6427,203533.1894,204726.6961,206130.0067,207351.4531,208858.1489,210133.345,211626.8876,212978.0714,214434.6817,215759.4914,217276.4254,218768.0497,220369.5615,221983.6189,223693.3337,225680.684,227692.6483,229744.8547,231510.3532,233226.4396,234913.9141,236562.6905,238069.8719,239494.9398,240900.4697,242108.4991,243048.704,243986.1631,244974.2098,246089.3991,247216.6983,248445.2585,250024.01,251557.194,253373.192,255225.657,257123.4151,258706.9484,260038.0919,261546.124,262989.0051,263924.3734,264412.3207,265370.2649,267423.1843,270700.6742,274665.946,278853.6347,282852.8626,286545.5792,290390.8581,294460.3395,298863.6265,303525.148,308682.579,314222.2051,319512.4157,324325.8966,328968.1462,334183.2609,339841.0873,346834.7299,354767.0555,363834.9286,372711.549,380756.7321,387022.3522,390070.4513,389840.4519,387501.8372,384950.0987,382415.9072,379346.9746,376351.9996,373830.7918
Edgecombe County,66331.59977,66326.07727,66075.78775,65446.84754,64803.18594,63615.73696,62720.48827,62427.9628,62976.53016,63627.85728,64138.47193,64641.14025,65255.99571,65715.84415,66044.60731,66243.71148,66480.09558,66944.47461,67814.38676,69080.06399,70150.39942,70395.84305,69874.64109,69178.38151,68971.31098,69081.55344,69252.09609,69069.65511,69068.80475,69393.71717,69541.62309,69430.25662,68983.89191,69014.27902,69438.32964,69973.49954,70222.28354,70120.45323,69879.31321,69674.89077,69621.45556,69785.2315,70114.4744,70447.38638,70937.41789,71687.23573,72338.44039,72754.96676,73054.25747,73875.10612,75026.57656,75810.02732,75931.923,76296.57452,77510.72184,79894.77709,82279.93187,84648.26194,86494.27822,88184.60182,89616.63635,90845.96508,91858.20936,92868.95841,94389.67348,95744.74411,96474.86787,96039.37514,95717.38903,96352.866,97722.86623,100406.661,103902.9488,107720.5118,110825.4319,112912.6095,115194.5658,117468.9945,119364.2059,120459.926,121352.4366,122278.2427,123148.2172,124629.3067,126454.3172
Forsyth County,130894.9348,131107.6978,131327.4824,131579.3989,132000.657,132200.629,132468.9159,132916.7255,133667.9684,134352.9195,134966.3467,135262.9374,135472.7665,135722.9585,136324.4519,136975.2579,137694.3877,138311.2643,139015.4972,139636.3689,140303.0938,141074.4941,141887.0963,142587.689,143204.4471,143910.9154,144712.8338,145575.0279,146442.8513,147469.2024,148579.2664,149827.7143,150877.5414,151904.3943,152928.2441,154322.0552,155810.4663,157358.6331,158575.6511,159512.3513,160140.2837,160658.8061,161218.6755,161873.2941,162780.5409,164047.5772,165323.5635,166420.7234,167382.9798,168513.3515,169823.2105,170719.7382,171437.0747,172339.2125,173960.1317,176312.8202,179057.45,181924.5505,184637.0202,187045.4723,189549.727,192203.3832,195346.5884,198855.9561,202717.5357,205598.4169,207125.8032,207296.5617,207730.8659,208922.0248,210580.1327,213454.0254,217093.3599,221616.9923,226043.2885,230121.5636,233906.6494,236643.5034,238076.2103,238506.1677,238932.2975,239491.9043,239796.8964,240518.1538,242043.5195
Franklin County,160826.0455,161220.049,161846.2327,162316.6836,162991.8529,163480.3528,164439.8653,165689.1329,167086.6023,168509.014,169920.2818,171195.4806,172408.7084,173608.3288,175086.9377,176144.9388,176919.5536,177485.5097,178375.711,179428.8261,180637.7756,181955.0666,183383.276,184709.7224,186011.9187,187550.7908,188977.9508,189999.0512,190373.1581,191086.4191,192258.9007,193923.031,195214.029,196317.0613,197312.0027,198557.3856,199975.2893,201486.1737,202826.7522,203709.6875,204323.9836,204594.6949,204781.9974,204891.852,205376.5943,206397.0587,207725.3158,209183.4294,210647.5174,212101.126,213149.2409,213602.9693,213935.2272,215009.4074,217335.4538,220501.6052,224040.8379,227790.9334,231843.6801,235896.6919,239941.7182,243595.7764,247340.2366,251313.7371,255963.9615,260358.7164,264155.5828,267512.4054,271216.8885,275751.3832,280452.635,287065.2863,295134.1965,304650.4269,313525.3834,321095.0778,327480.3887,331306.6578,332895.3186,332094.2204,331100.8851,329998.683,328822.031,327431.0366,326155.3084
Gaston County,122295.8737,122814.1999,123245.92,123548.3587,124146.6057,124700.8593,125816.8532,127343.2525,129121.2463,130666.3352,131955.0523,133085.3075,134152.0451,135124.548,136317.1373,137331.1074,138361.3012,139154.9809,140190.8931,141124.9515,142121.4784,143246.8765,144446.6342,145635.5214,146603.3711,147822.4089,149218.7943,150734.7908,152183.9859,153576.7537,154999.4133,156519.1976,157854.5334,159122.0925,160308.879,161814.9163,163555.2622,165322.1633,166691.3071,167637.6516,168350.1302,169023.6111,169833.6826,170716.8493,172104.3906,173765.1494,175395.5753,176666.7585,177957.2228,179496.2443,181137.3758,182377.1557,183410.6131,184747.0278,186751.3077,189632.0816,193056.4013,196663.6904,200185.2156,203396.1238,206789.1499,210412.5407,214442.0466,218755.4041,223411.0118,227604.7714,230846.2845,233050.3743,235296.4124,238234.0793,241473.2009,246404.2528,252627.2351,260120.7113,266937.0996,272555.0451,277168.2453,279973.3082,280915.3559,280371.81,279651.7528,279054.8766,277782.7465,276329.6218,274898.5506
Gates County,59240.59941,59799.86185,59731.55846,59117.62159,58192.5079,57662.19802,57631.46525,58100.60018,58657.1468,59353.16774,60047.48218,60939.48645,61756.47998,62523.46123,62753.10882,62350.71629,61596.77831,61278.60889,61466.03695,61896.9045,62255.71471,62618.20216,63063.39651,63462.89831,63757.98865,64124.87731,,,,,113901.5166,116977.5033,120465.4996,122272.3766,123331.9513,122852.0452,122827.6016,123281.6587,123509.2728,124518.1003,125676.3218,126598.2703,127482.3391,128353.4879,130346.3975,133316.4301,136451.0071,138500.7348,140034.8702,141009.5912,141897.5397,141857.2693,141481.6497,141999.8404,143392.508,146616.2997,149645.6257,153729.1354,157272.2285,160780.9865,163851.769,167092.5942,170099.9639,171818.9257,172255.5088,172962.2324,174267.0889,175588.2997,176445.8563,177894.2187,179079.7235,180825.3443,183155.7278,188016.8355,194261.3194,199278.2704,203033.3407,203964.7986,203538.8434,202301.6797,201380.1276,201129.4991,200855.9621,201310.5683,204347.0118
Graham County,133347.3788,128630.4653,125279.213,123150.6575,121828.7591,120340.7466,118199.3323,116465.1228,114881.8641,114014.8331,113510.0664,114857.916,117634.8866,121203.6654,123661.592,125229.6775,125968.0795,126657.181,127546.8139,128665.7842,129606.206,129861.9127,129462.2037,128952.1216,128721.6325,129047.5715,129791.5349,130443.1246,131206.9923,131863.0289,132537.4723,132563.4214,131993.7169,131471.1701,131553.7711,132327.6913,133544.5531,134907.2399,135605.8921,135716.6566,135470.3015,135844.4995,136742.2712,137327.2104,137726.1575,137515.8153,137482.9275,137362.5734,137853.4285,139612.2134,141484.4817,143253.9145,144207.4851,145797.3661,148092.1301,150929.7417,154148.8298,157257.9531,160828.7551,164511.5945,168513.8308,172397.4203,175634.9177,178577.8636,181572.1234,184372.8145,186053.2467,186278.5824,185703.0371,185547.8432,186274.595,190205.423,196391.1052,203975.4533,210221.8306,215646.9008,220112.1782,223494.837,225692.7674,226553.0272,226647.2508,225772.9513,223863.3544,222754.6831,222154.391
Granville County,133190.9758,133506.6075,133646.0266,133802.6266,134021.5055,134113.5975,134484.5271,135118.966,136177.0415,137196.7314,138146.5577,138967.4292,139709.9607,140334.0783,141013.5156,141580.3559,142105.7474,142551.7891,143069.2496,143810.2311,144868.6933,146213.3481,147509.6684,148663.4991,149816.3874,151059.4506,152365.2753,153297.7861,153884.4944,154192.6401,154506.1289,155043.0663,155560.4008,156096.4972,156733.5552,157847.1793,159799.3647,162007.1876,163918.9754,165217.2904,166302.0406,167419.907,168509.414,169378.1241,170091.8227,170696.9332,171418.7531,172349.9406,173730.4867,175403.8928,177100.7049,178300.8444,179475.8289,180882.6954,183016.7552,185658.9821,188867.0743,192261.9281,195631.2599,198713.7696,201781.196,205025.7684,208417.899,212221.7021,216469.1711,220434.8494,223430.6338,225135.7922,226828.7766,229203.4727,231754.7176,235774.8243,240498.2942,246377.3453,251720.0285,256351.5673,260510.3009,263269.3838,264811.9553,265235.127,265039.0786,264461.3556,263336.4938,263145.2134,263334.5389
Greene County,90126.12919,89962.60484,90073.64475,89909.74436,89984.66575,90160.98135,90671.54324,91595.5048,92497.76971,93492.85504,93849.70316,93903.86635,93718.3323,93300.71861,92768.06596,92010.50256,91580.77958,91860.50616,92554.40432,93449.61893,94060.70018,94738.14297,95008.43464,95061.57178,94901.00353,95288.04103,95761.91419,96250.6089,96278.30513,96511.05672,96893.29587,97831.46545,98535.39353,99480.10063,100050.1224,100749.817,101441.6608,102277.6653,102740.2778,102771.0125,102906.9834,103563.632,104169.5358,104360.2137,104340.3333,104594.0201,105060.5182,105363.5938,105811.0234,106733.7949,107872.3482,108683.8884,109085.257,109872.4714,111319.0533,113429.3003,115687.8605,118124.3102,120450.2893,122365.1085,123885.1741,125171.9365,126667.3971,128426.8996,130446.4951,131673.8235,131760.7516,131144.8049,131029.5428,131939.4747,133127.7605,136239.3552,140195.9115,144712.0465,147927.3885,149993.3144,151985.6345,153281.655,153823.2283,153564.3656,153543.0859,153723.1684,153643.5872,153079.9147,153154.6398
Guilford County,128369.7733,128698.3672,128974.8338,129342.5415,129996.1824,130686.1079,131440.4526,132262.5177,133143.1398,134043.9769,134904.0586,135227.4684,134972.516,134449.4462,134326.5035,134536.8426,135117.6519,135930.062,136772.2589,137543.1155,138176.2532,138980.4654,139698.1765,140948.489,142527.3522,144341.3296,145586.0988,146412.8225,146966.7972,147695.0498,148278.1615,149013.3063,149680.6016,150752.767,151938.4582,153425.7581,154855.7711,156181.7635,157083.6342,157545.1023,157787.4881,157985.4399,158357.3287,158679.6969,159178.8614,159996.1152,160897.6529,162038.7357,163388.9123,165233.8722,166938.2049,168145.2785,168931.4194,169894.4094,171375.8762,173604.1523,176005.5284,178332.4821,180439.1438,182812.9719,185636.223,188770.0965,191760.293,194958.259,198289.8065,201012.3458,202301.1003,202353.6025,202422.0013,203335.6354,204849.811,207744.5086,211745.1103,216965.627,222443.2814,227282.2755,231250.8787,233644.6895,234610.1871,234592.5856,234411.543,234287.5831,233912.0837,234299.1074,235547.2081
Halifax County,46446.66415,46118.13299,45686.85696,45435.54862,45437.05865,45244.04999,45002.84906,44532.08883,44316.2596,43751.38461,43314.36175,43082.19013,43177.39839,43227.73676,43182.89649,43009.72166,42780.15217,42703.95749,42894.75203,43234.82097,43518.55132,43833.57089,44071.55666,44392.8302,44652.27612,45257.79316,45810.68771,46296.59655,46327.62302,46425.1616,46276.07842,46277.65171,46003.02471,46115.76507,46363.52791,46641.97135,46768.80943,46852.88889,46958.52292,46992.81898,46851.31948,46652.79649,46539.05294,46456.43407,46501.36967,46822.94013,47130.33089,47094.24034,46818.2395,46850.73244,47452.32826,47940.55525,48072.08436,48032.6853,48519.19611,50397.1019,53177.26755,56250.47214,58441.49214,60086.58697,61511.65545,62901.17349,64051.22538,64873.25131,65623.28335,65402.15666,64948.13607,64048.58876,63794.56448,63675.48357,63652.01715,64600.98839,66098.59341,68107.74414,69707.37032,70980.21539,72047.25064,72987.28401,73641.23355,74101.08246,74089.69046,74111.1044,74125.00534,75188.06749,76993.96485
Harnett County,138482.589,137589.8753,137507.9827,137886.0959,138662.5715,139296.2707,140224.2441,141088.9001,142016.5117,143243.5686,145014.2534,146450.7407,147361.0788,147680.2855,148418.2436,149002.3127,149454.5856,149746.8857,150498.1968,151624.8193,153042.9873,154282.304,155355.4695,155836.1417,156083.6005,156585.091,157256.2717,157903.4736,158296.4843,158873.5591,159525.9905,159995.1404,160192.1641,160311.0064,160491.201,160728.8697,161300.0551,162285.0725,163487.5624,164350.9924,165062.5276,165810.2769,166586.3996,167121.9934,167869.0532,168959.0761,170240.24,171252.7133,172109.3836,172858.2574,173695.6439,174090.8082,174337.8008,174715.9436,175864.3619,177978.648,180522.2018,183221.1858,185761.8459,188357.0747,191452.3398,195003.0581,198500.0848,202137.6614,205524.2105,208624.1774,210583.7035,211875.9164,213201.3511,215169.447,217390.395,220983.7325,225413.2916,231031.0887,236483.6136,241710.0967,246512.4297,249717.6486,251297.8229,251370.4187,251456.8058,251547.9521,251474.4038,251998.8629,253131.3136
Haywood County,157558.4799,157923.4267,158012.6304,158008.8993,158283.1988,158572.0111,159351.7691,160824.0376,162663.3219,164356.3571,165656.2075,166498.0575,167061.3177,167701.0331,168749.5542,169893.523,170763.6807,171446.4016,172324.5766,173736.3078,175264.9356,176915.9206,178453.7969,179645.148,180337.0968,180847.7809,181041.0604,181113.0853,180874.525,181401.9876,182238.4143,183056.9531,183498.1159,184290.1126,185616.8362,187043.4093,188376.1585,189806.6179,191394.3285,192967.7525,194299.5564,195361.13,195934.9225,196369.1203,196967.0256,198168.6937,199639.1475,201300.2326,202845.3236,204878.6228,206827.2584,208407.2047,209037.9806,209438.3724,210499.7251,212897.959,216095.4559,219163.5845,222283.0459,226253.6157,231037.1308,235982.3265,240482.7174,245498.6272,250956.1371,255989.5347,259557.8476,262045.7969,264028.7866,266794.5577,269014.3999,272607.5749,277040.7129,282521.7727,287186.6168,291118.7723,295124.5808,298710.4479,301117.0927,301329.436,300366.8694,298317.549,295896.2123,297459.4898,301142.7928
Henderson County,201949.9346,203217.6639,203900.6898,204824.5924,206115.2747,207519.4113,208887.6132,210188.2683,211716.94,213254.1114,214840.8322,216614.9442,218619.2027,220729.779,222710.7985,224635.1206,226524.2073,228137.9504,229475.6905,230446.1049,231560.2851,232903.5193,234493.6208,236135.0238,237979.5056,239927.1569,241551.1888,242811.5389,243816.5153,245224.619,246503.728,247870.8227,248916.4449,249998.0473,251124.6375,251157.3203,250572.0855,249953.2748,250544.476,251578.4866,252508.9988,253375.0044,254409.5633,255688.3012,257355.8915,259339.5842,261225.4458,263017.9306,265066.0342,267285.46,269109.27,269917.0073,270406.4949,271201.2788,273151.2291,276286.5212,280244.0008,284406.9364,288547.9549,292589.1591,297262.7924,302180.2211,307220.859,312228.194,317526.7002,322304.4718,325917.6189,328570.1407,331112.6986,334069.7509,337342.3844,342375.3938,348908.1083,356921.1386,365000.532,372169.6414,378037.3919,381437.774,382883.7182,382723.3485,382825.066,382642.6431,381682.8146,380904.3695,381313.9692
Hertford County,48964.76859,49015.47828,48984.35851,48894.0149,49119.90917,49204.65868,49493.21049,49678.56942,50040.35471,50201.76654,50282.49948,50020.38379,49880.59603,49687.56574,49827.36857,49779.86863,49831.97581,50093.91261,50433.15512,50907.73641,51504.98187,52161.56661,52774.93333,53077.93463,53191.55194,53271.54174,53327.33897,53345.70653,53144.71743,53061.4297,53179.00181,53489.46785,53587.92268,53671.66575,53533.5358,53772.19723,54136.36999,54950.01162,55638.36848,56400.66495,56978.37816,57472.88454,57629.04074,57354.16859,57002.6104,56472.2067,56164.20016,55748.39147,55625.51881,55880.92749,56445.91383,57107.40379,57443.46283,57847.25882,58567.0085,60022.51632,61518.55811,62867.00509,63608.19344,64073.96958,64510.01234,65364.90783,66165.66167,67211.3938,68039.18677,69007.74598,69507.2867,69707.90987,69858.19298,70585.33906,71717.49735,73177.93061,74249.20135,74556.56122,74558.20521,74457.80978,74981.38537,75335.51605,75496.6968,74811.7447,73938.88344,73175.16273,73076.77157,74934.84088,76574.41725
Hoke County,142265.8953,142061.8775,141822.6,141579.5445,141629.804,141570.6653,141824.3746,142273.6456,142822.0427,143076.9781,143064.6918,143152.5414,143338.8062,143596.6666,143919.2348,144348.5364,144852.2378,145254.8428,145566.5579,145844.47,146224.2766,146718.3664,147211.6611,147659.143,147810.0008,147960.9807,148131.2003,148412.1402,148502.1544,148623.4227,148803.164,149167.632,149382.0139,149813.0904,150404.6078,151077.4858,151781.929,152718.5143,153646.8181,154355.39,154554.6932,154761.3459,154936.6008,155132.3813,155460.659,156088.4013,156987.4741,157734.1179,158388.8935,159078.3083,159941.8717,160759.6824,161481.4007,162421.7031,163721.2677,165367.2684,167084.4312,168816.073,170687.1609,172489.8385,174384.5636,176259.9029,178498.4188,181061.5858,183871.1976,186368.1954,188170.0446,189334.8636,190484.258,192098.174,194274.0311,196872.463,199672.2663,202625.9619,205893.9954,209461.8144,213159.3904,216074.0716,218033.9391,219066.7712,220028.8042,221054.3547,222359.3885,224303.955,226828.6903
