"county","year","population"
"Halifax County",2013,52702
"Halifax County",2014,51918
"Halifax County",2018,49680
"Halifax County",2019,49173
"Halifax County",2030,44375
"Halifax County",2032,43521
"Halifax County",2037,41391
"Halifax County",2039,40538
"Harnett County",2019,132615
"Harnett County",2028,154439
"Harnett County",2029,156658
"Harnett County",2031,161123
"Harnett County",2035,170341
"Harnett County",2036,172603
"Harnett County",2039,179408
"Harnett County",2042,186217
"Harnett County",2045,193045
"Harnett County",2047,197592
"Haywood County",2014,59291
"Haywood County",2034,67619
"Haywood County",2036,68409
"Haywood County",2042,70774
"Henderson County",2011,107091
"Henderson County",2019,115539
"Henderson County",2027,122266
"Hertford County",2011,24534
"Hertford County",2014,23723
"Hertford County",2015,23419
"Hertford County",2018,22441
"Hertford County",2023,19365
"Hertford County",2031,18223
"Hertford County",2037,17366
"Hertford County",2038,17226
"Hertford County",2046,16084
"Hertford County",2047,15940
"Hertford County",2050,15513
"Hoke County",2019,52193
"Hoke County",2031,64796
"Hoke County",2038,71674
"Hoke County",2042,75592
"Hyde County",2013,5553
"Hyde County",2024,4439
"Hyde County",2025,4385
"Hyde County",2043,3473
"Iredell County",2011,161310
"Iredell County",2013,165740
"Iredell County",2032,240368
"Iredell County",2033,244787
"Iredell County",2034,249207
"Iredell County",2041,280148
"Iredell County",2047,306664
"Jackson County",2026,44408
"Jackson County",2029,45484
"Jackson County",2032,46560
"Jackson County",2033,46918
"Jackson County",2035,47637
"Jackson County",2037,48355
"Jackson County",2047,51943
"Johnston County",2016,191674
"Johnston County",2021,226661
"Jones County",2015,9795
"Jones County",2019,9311
"Jones County",2026,9193
"Jones County",2035,9193
"Jones County",2037,9191
"Jones County",2039,9192
"Jones County",2040,9192
"Jones County",2042,9193
"Jones County",2043,9191
"Jones County",2048,9192
"Lee County",2024,66490
"Lee County",2026,67969
"Lee County",2027,68707
"Lee County",2032,72403
"Lee County",2034,73882
"Lenoir County",2015,57171
"Lenoir County",2017,55728
"Lenoir County",2018,55256
"Lenoir County",2021,54851
"Lenoir County",2044,48475
"Lincoln County",2010,78083
"Lincoln County",2016,80867
"Lincoln County",2028,98831
"Lincoln County",2039,112903
"Lincoln County",2047,123069
"Macon County",2014,34581
"Macon County",2024,38260
"Macon County",2039,42813
"Macon County",2045,44635
"Madison County",2029,22051
"Madison County",2032,22279
"Madison County",2034,22430
"Madison County",2044,23187
"Madison County",2045,23262
"Martin County",2013,23414
"Martin County",2016,23021
"Martin County",2025,20919
"Martin County",2028,20362
"Martin County",2035,19067
"Martin County",2037,18695
"Martin County",2043,17583
"Martin County",2046,17026
"McDowell County",2015,44462
"McDowell County",2021,44688
"Mecklenburg County",2016,1057022
"Mecklenburg County",2017,1076357
"Mecklenburg County",2032,1342825
"Mecklenburg County",2050,1699526
"Mitchell County",2011,15317
"Mitchell County",2014,15150
"Mitchell County",2045,14032
"Montgomery County",2018,25564
"Montgomery County",2020,25742
"Montgomery County",2022,25757
"Montgomery County",2047,25736
"Moore County",2014,91620
"Moore County",2022,104758
"Moore County",2024,109485
"Moore County",2025,111848
"Moore County",2027,116560
"Moore County",2043,153933
"Nash County",2029,95368
"Nash County",2035,95348
"Nash County",2038,95343
"Nash County",2046,95338
"New Hanover County",2022,235245
"New Hanover County",2024,241236
"New Hanover County",2028,253222
"New Hanover County",2029,256220
"New Hanover County",2035,274199
"New Hanover County",2047,310157
"Northampton County",2017,18979
"Northampton County",2028,16056
"Northampton County",2030,15739
"Northampton County",2033,15260
"Northampton County",2046,13191
"Northampton County",2048,12871
"Onslow County",2010,186891
"Onslow County",2011,186406
"Onslow County",2021,206530
"Onslow County",2028,224136
"Onslow County",2030,228959
"Orange County",2023,151126
"Orange County",2027,156943
"Orange County",2028,158388
"Orange County",2038,172686
