"county","year","population"
"Beaufort County",2012,47211
"Beaufort County",2015,46147
"Beaufort County",2017,45440
"Beaufort County",2024,44090
"Bertie County",2010,21197
"Bertie County",2020,17905
"Bertie County",2027,15928
"Bertie County",2046,12479
"Bladen County",2010,35038
"Bladen County",2028,28751
"Bladen County",2032,28702
"Bladen County",2037,28771
"Brunswick County",2014,115479
"Brunswick County",2017,124921
"Brunswick County",2022,150848
"Brunswick County",2023,157537
"Brunswick County",2039,222546
"Brunswick County",2043,236266
"Brunswick County",2045,243090
"Buncombe County",2013,249325
"Buncombe County",2014,252384
"Buncombe County",2020,269797
"Buncombe County",2037,317949
"Buncombe County",2047,347009
"Burke County",2015,87316
"Burke County",2018,88040
"Burke County",2032,87745
"Burke County",2035,87687
"Burke County",2037,87657
"Burke County",2040,87609
"Burke County",2042,87577
"Cabarrus County",2017,211381
"Cabarrus County",2026,255458
"Cabarrus County",2032,283590
"Cabarrus County",2044,340953
"Cabarrus County",2047,355097
"Caldwell County",2013,81615
"Caldwell County",2020,80620
"Caldwell County",2027,81227
"Caldwell County",2034,81257
"Caldwell County",2046,81259
"Caldwell County",2048,81259
"Camden County",2022,10915
"Camden County",2033,12541
"Carteret County",2021,68284
"Carteret County",2029,71841
"Carteret County",2034,73877
"Caswell County",2020,22736
"Caswell County",2029,21668
"Caswell County",2039,20717
"Catawba County",2012,155734
"Chatham County",2016,70574
"Cherokee County",2012,27266
"Cherokee County",2013,27217
"Cherokee County",2017,28296
"Cherokee County",2022,29177
"Cherokee County",2027,30234
"Cherokee County",2033,31501
"Chowan County",2017,13872
"Chowan County",2018,13802
"Chowan County",2022,13677
"Chowan County",2023,13722
"Chowan County",2034,13742
"Chowan County",2038,13749
"Chowan County",2042,13756
"Chowan County",2046,13764
"Clay County",2017,11130
"Clay County",2020,11115
"Clay County",2032,12626
"Clay County",2033,12746
"Clay County",2048,14533
"Clay County",2050,14771
"Cleveland County",2022,101874
"Cleveland County",2025,103964
"Cleveland County",2031,106113
"Cleveland County",2034,106637
"Cleveland County",2036,106876
"Cleveland County",2044,107340
"Columbus County",2012,56893
"Columbus County",2015,54489
"Columbus County",2024,49600
"Columbus County",2027,48906
"Columbus County",2030,48209
"Columbus County",2031,47976
"Columbus County",2032,47742
"Columbus County",2041,45645
"Craven County",2026,102367
"Craven County",2036,102603
"Craven County",2041,102627
"Craven County",2045,102635
"Craven County",2046,102637
"Cumberland County",2010,327275
"Cumberland County",2021,342082
"Cumberland County",2026,348081
"Cumberland County",2027,348587
"Cumberland County",2032,349718
"Cumberland County",2034,349867
"Cumberland County",2040,350017
"Alamance County",2019,169785
"Cumberland County",2045,350040
"Alamance County",2029,190773
"Cumberland County",2047,350044
"Alamance County",2031,194571
"Currituck County",2015,25122
"Alamance County",2032,196471
"Currituck County",2017,26061
"Alamance County",2036,204070
"Currituck County",2021,29602
"Alamance County",2038,207869
"Currituck County",2022,30904
"Alamance County",2041,213567
"Currituck County",2038,51760
"Alexander County",2018,36664
"Currituck County",2040,54369
"Alexander County",2026,36716
"Currituck County",2046,62189
"Alexander County",2031,36724
"Currituck County",2048,64796
"Alexander County",2034,36729
"Dare County",2015,35228
"Alexander County",2035,36730
"Dare County",2017,35939
"Alexander County",2039,36739
"Dare County",2025,39303
"Alexander County",2048,36752
"Dare County",2028,40672
"Alleghany County",2027,11188
"Dare County",2037,44775
"Alleghany County",2030,11222
"Dare County",2038,45232
"Alleghany County",2032,11247
"Dare County",2043,47510
"Alleghany County",2035,11282
"Dare County",2044,47967
"Alleghany County",2036,11293
"Davidson County",2015,163650
"Alleghany County",2043,11372
"Davidson County",2022,172093
"Alleghany County",2046,11406
"Davidson County",2034,189951
"Anson County",2010,26777
"Davidson County",2038,195796
"Anson County",2012,26003
"Davidson County",2039,197257
"Anson County",2015,24599
"Davidson County",2043,203104
"Anson County",2034,21134
"Davidson County",2048,210410
"Anson County",2043,21097
"Davidson County",2050,213330
"Anson County",2044,21096
"Davie County",2027,46093
"Anson County",2048,21091
"Davie County",2032,48429
"Ashe County",2014,26682
"Davie County",2041,52635
"Ashe County",2021,26701
"Davie County",2050,56841
"Ashe County",2023,26685
"Duplin County",2015,53663
"Ashe County",2024,26679
"Duplin County",2023,48754
"Ashe County",2025,26690
"Duplin County",2024,48762
"Ashe County",2037,26760
"Duplin County",2029,48784
"Ashe County",2041,26786
"Duplin County",2035,48805
"Avery County",2014,17752
"Duplin County",2038,48810
"Avery County",2015,17609
"Duplin County",2040,48811
"Avery County",2018,17788
"Duplin County",2046,48819
"Avery County",2022,17951
"Durham County",2018,315929
"Avery County",2023,17951
"Durham County",2019,322369
"Avery County",2024,17951
"Durham County",2041,420352
"Avery County",2030,17952
"Edgecombe County",2011,55809
"Avery County",2033,17951
"Edgecombe County",2018,49860
"Avery County",2040,17950
"Edgecombe County",2037,38985
"Avery County",2042,17951
"Forsyth County",2013,360646
"Beaufort County",2020,44669
"Forsyth County",2014,364207
"Beaufort County",2021,44561
"Forsyth County",2017,374689
"Beaufort County",2025,43936
"Forsyth County",2020,382944
"Beaufort County",2028,43474
"Forsyth County",2029,406035
"Beaufort County",2035,42397
"Forsyth County",2032,415931
"Bertie County",2011,20757
"Forsyth County",2033,419289
"Bertie County",2015,19537
"Franklin County",2014,61965
"Bertie County",2019,18064
"Franklin County",2028,87332
"Bertie County",2021,17214
"Franklin County",2034,101293
"Bertie County",2028,15748
"Franklin County",2038,110600
"Bertie County",2030,15386
"Franklin County",2044,124563
"Bertie County",2032,15021
"Franklin County",2049,136197
"Bertie County",2033,14841
"Gaston County",2011,207701
"Bertie County",2038,13933
"Gaston County",2017,220837
"Bertie County",2041,13389
"Gaston County",2021,232789
"Bertie County",2045,12663
"Gaston County",2025,245067
"Bladen County",2013,33387
"Gaston County",2031,255750
"Bladen County",2021,29402
"Gaston County",2045,282724
"Bladen County",2027,28786
"Gaston County",2049,290432
"Bladen County",2046,29047
"Gates County",2016,11104
"Alamance County",2014,155558
"Bladen County",2048,29121
"Gates County",2028,10075
"Alamance County",2022,177141
"Brunswick County",2019,133610
"Gates County",2040,10003
"Alamance County",2034,200269
"Brunswick County",2024,163278
"Gates County",2042,10002
"Alamance County",2044,219267
"Brunswick County",2028,182284
"Graham County",2029,8103
"Alamance County",2049,228765
"Brunswick County",2031,194127
"Graham County",2038,8118
"Alexander County",2017,36683
"Brunswick County",2036,212135
"Graham County",2045,8117
"Alexander County",2029,36720
"Brunswick County",2049,256717
"Granville County",2013,57491
"Alexander County",2037,36733
"Buncombe County",2010,238846
"Granville County",2016,58854
"Alexander County",2043,36743
"Buncombe County",2024,280171
"Granville County",2021,61150
"Alleghany County",2013,10876
"Buncombe County",2025,283079
"Granville County",2027,65690
"Alleghany County",2017,10915
"Buncombe County",2026,285984
"Granville County",2039,74424
"Alleghany County",2020,10909
"Buncombe County",2027,288887
"Granville County",2040,75153
"Alleghany County",2031,11236
"Buncombe County",2030,297608
"Granville County",2042,76609
"Alleghany County",2041,11351
"Buncombe County",2038,320854
"Granville County",2044,78064
"Alleghany County",2042,11360
"Buncombe County",2039,323761
"Granville County",2045,78793
"Anson County",2029,21202
"Burke County",2012,88820
"Greene County",2013,20763
"Anson County",2031,21167
"Burke County",2026,87748
"Greene County",2017,20836
"Anson County",2032,21155
"Burke County",2034,87703
"Greene County",2037,20120
"Anson County",2037,21113
"Burke County",2036,87674
"Greene County",2043,20119
"Anson County",2040,21103
"Burke County",2046,87512
"Greene County",2045,20120
"Anson County",2045,21095
"Burke County",2050,87447
"Guilford County",2010,489672
"Ashe County",2012,26909
"Cabarrus County",2010,178757
"Guilford County",2016,524983
"Ashe County",2020,26582
"Cabarrus County",2011,181534
"Guilford County",2018,535150
"Ashe County",2027,26701
"Cabarrus County",2019,221814
"Guilford County",2019,538536
"Ashe County",2035,26749
"Cabarrus County",2020,226641
"Guilford County",2021,542451
"Ashe County",2050,26840
"Cabarrus County",2033,288496
"Guilford County",2029,571828
"Avery County",2010,17788
"Cabarrus County",2046,350374
"Guilford County",2036,607198
"Avery County",2019,17784
"Caldwell County",2019,80864
"Halifax County",2015,51003
"Avery County",2027,17951
"Caldwell County",2021,80820
"Halifax County",2016,50668
"Avery County",2029,17952
"Caldwell County",2024,81141
"Halifax County",2017,50305
"Avery County",2046,17950
"Caldwell County",2044,81260
"Halifax County",2023,47359
"Avery County",2047,17951
"Caldwell County",2047,81260
"Halifax County",2029,44802
"Beaufort County",2034,42551
"Camden County",2011,9992
"Halifax County",2036,41815
"Beaufort County",2049,40241
"Camden County",2012,9879
"Harnett County",2020,133784
"Bertie County",2018,18370
"Camden County",2013,9941
"Harnett County",2022,139562
"Bertie County",2031,15205
"Camden County",2014,10027
"Harnett County",2025,148250
"Bertie County",2048,12119
"Camden County",2016,10004
"Harnett County",2033,165742
"Bladen County",2015,32189
"Camden County",2018,10124
"Harnett County",2038,177136
"Bladen County",2022,29195
"Camden County",2019,10257
"Harnett County",2043,188494
"Bladen County",2033,28708
"Camden County",2034,12620
"Haywood County",2018,61837
"Brunswick County",2029,186394
"Camden County",2040,12963
"Haywood County",2038,69198
"Brunswick County",2033,201489
"Camden County",2044,13103
"Haywood County",2040,69985
"Brunswick County",2035,208623
"Carteret County",2020,67739
"Haywood County",2048,73141
"Brunswick County",2041,229421
"Carteret County",2023,69296
"Henderson County",2017,114035
"Brunswick County",2042,232844
"Carteret County",2028,71431
"Henderson County",2023,118043
"Buncombe County",2016,260096
"Carteret County",2033,73473
"Henderson County",2028,123466
"Buncombe County",2031,300512
"Carteret County",2042,77130
"Henderson County",2030,125945
"Buncombe County",2034,309231
"Carteret County",2049,79974
"Henderson County",2037,134923
"Buncombe County",2040,326666
"Caswell County",2030,21572
"Henderson County",2041,140113
"Burke County",2016,87691
"Caswell County",2031,21475
"Henderson County",2044,144005
"Burke County",2027,87823
"Caswell County",2033,21288
"Henderson County",2048,149201
"Cabarrus County",2018,216576
"Caswell County",2034,21193
"Henderson County",2049,150499
"Cabarrus County",2028,264859
"Catawba County",2021,161736
"Henderson County",2050,151797
"Cabarrus County",2034,293382
"Catawba County",2039,180707
"Hertford County",2020,21516
"Cabarrus County",2036,302909
"Chatham County",2010,63836
"Hertford County",2026,18935
"Cabarrus County",2038,312231
"Chatham County",2013,66048
"Hertford County",2030,18366
"Cabarrus County",2039,316948
"Chatham County",2021,77420
"Hertford County",2032,18081
"Cabarrus County",2048,359855
"Chatham County",2024,81210
"Hertford County",2040,16939
"Caldwell County",2010,82940
"Chatham County",2026,84280
"Hoke County",2010,47446
"Caldwell County",2018,80665
"Chatham County",2032,91830
"Hoke County",2028,61800
"Caldwell County",2026,81210
"Chatham County",2033,93243
"Hoke County",2029,62806
"Caldwell County",2050,81259
"Cherokee County",2021,28964
"Hoke County",2030,63805
"Camden County",2023,11144
"Cherokee County",2024,29599
"Hoke County",2032,65783
"Camden County",2024,11351
"Cherokee County",2029,30655
"Hoke County",2034,67752
"Camden County",2026,11710
"Cherokee County",2040,32982
"Hoke County",2049,82443
"Camden County",2042,13040
"Cherokee County",2043,33618
"Hyde County",2010,5796
"Camden County",2045,13130
"Cherokee County",2046,34252
"Hyde County",2017,5001
"Carteret County",2018,67878
"Chowan County",2012,14598
"Hyde County",2020,4572
"Carteret County",2027,71020
"Chowan County",2039,13750
"Hyde County",2023,4495
"Carteret County",2035,74286
"Chowan County",2048,13766
"Hyde County",2034,3914
"Carteret County",2036,74693
"Chowan County",2050,13771
"Hyde County",2035,3864
"Caswell County",2012,23336
"Clay County",2024,11685
"Hyde County",2041,3570
"Caswell County",2019,22869
"Clay County",2028,12151
"Hyde County",2046,3335
"Caswell County",2032,21381
"Clay County",2030,12389
"Hyde County",2049,3199
"Catawba County",2016,156885
"Clay County",2043,13937
"Hyde County",2050,3156
"Catawba County",2019,159673
"Cleveland County",2043,107309
"Iredell County",2023,200590
"Catawba County",2045,187033
"Columbus County",2014,55325
"Iredell County",2029,227109
"Chatham County",2014,67280
"Columbus County",2018,52186
"Iredell County",2030,231528
"Chatham County",2044,107689
"Columbus County",2028,48672
"Iredell County",2031,235948
"Chatham County",2046,110269
"Columbus County",2039,46111
"Iredell County",2037,262466
"Chatham County",2049,114222
"Columbus County",2047,44248
"Iredell County",2042,284566
"Cherokee County",2014,27210
"Craven County",2011,104318
"Jackson County",2016,42489
"Cherokee County",2031,31079
"Craven County",2028,102456
"Jackson County",2038,48715
"Cherokee County",2037,32349
"Craven County",2029,102490
"Jackson County",2039,49073
"Cherokee County",2045,34039
"Craven County",2037,102611
"Jackson County",2040,49430
"Chowan County",2029,13733
"Craven County",2042,102631
"Jackson County",2044,50867
"Chowan County",2040,13754
"Cumberland County",2015,329843
"Johnston County",2013,177960
"Chowan County",2044,13760
"Cumberland County",2037,349974
"Johnston County",2017,197453
"Clay County",2018,11136
"Currituck County",2016,25513
"Johnston County",2018,204099
"Clay County",2025,11797
"Dare County",2014,34939
"Johnston County",2030,282334
"Clay County",2044,14056
"Dare County",2031,42040
"Jones County",2017,9541
"Clay County",2046,14295
"Davidson County",2017,165580
"Jones County",2024,9195
"Clay County",2047,14414
"Davidson County",2018,166813
"Jones County",2046,9191
"Cleveland County",2010,97885
"Davidson County",2040,198719
"Lee County",2012,59098
"Cleveland County",2018,97883
"Davie County",2011,41195
"Lee County",2017,60716
"Cleveland County",2028,105282
"Davie County",2015,41207
"Lee County",2021,64068
"Columbus County",2023,49851
"Davie County",2016,41631
"Lee County",2036,75362
"Columbus County",2033,47510
"Davie County",2018,42102
"Lee County",2041,79058
"Columbus County",2036,46811
"Davie County",2031,47963
"Lee County",2047,83494
"Columbus County",2037,46577
"Duplin County",2016,52597
"Lenoir County",2024,54018
"Columbus County",2045,44715
"Duplin County",2019,49505
"Lenoir County",2042,49031
"Craven County",2030,102518
"Duplin County",2022,48747
"Lenoir County",2049,47090
"Craven County",2032,102559
"Duplin County",2025,48767
"Lincoln County",2029,100046
"Craven County",2035,102595
"Duplin County",2039,48812
"Lincoln County",2031,102565
"Craven County",2043,102631
"Durham County",2011,276527
"Lincoln County",2042,116686
"Craven County",2050,102639
"Durham County",2015,299753
"Macon County",2023,37957
"Cumberland County",2017,329639
"Durham County",2016,306401
"Macon County",2026,38867
"Cumberland County",2022,343588
"Durham County",2044,434214
"Macon County",2041,43421
"Cumberland County",2024,346484
"Durham County",2048,452693
"Macon County",2043,44030
"Cumberland County",2025,347401
"Edgecombe County",2026,45379
"Macon County",2047,45243
"Cumberland County",2028,348965
"Edgecombe County",2033,41312
"Macon County",2049,45850
"Cumberland County",2036,349948
"Edgecombe County",2039,37823
"Madison County",2010,20766
"Cumberland County",2048,350045
"Edgecombe County",2042,36080
"Madison County",2012,20998
"Currituck County",2010,23652
"Forsyth County",2018,378098
"Madison County",2015,21129
"Currituck County",2020,28298
"Forsyth County",2041,446567
"Madison County",2019,21187
"Currituck County",2035,47851
"Forsyth County",2048,470617
"Madison County",2022,21522
"Currituck County",2036,49155
"Franklin County",2015,62638
"Madison County",2035,22507
"Currituck County",2043,58277
"Franklin County",2016,63536
"Madison County",2042,23035
"Dare County",2011,34152
"Franklin County",2024,78026
"Madison County",2043,23113
"Dare County",2012,34542
"Franklin County",2035,103622
"Madison County",2050,23640
"Dare County",2018,36220
"Gaston County",2027,247944
"Martin County",2014,23307
"Dare County",2019,36591
"Gaston County",2029,251696
"Martin County",2022,21476
"Dare County",2047,49334
"Gaston County",2030,253731
"Martin County",2044,17396
"Davidson County",2011,162904
"Gaston County",2032,257719
"Martin County",2047,16841
"Davidson County",2013,163066
"Gaston County",2034,261554
"Martin County",2048,16655
"Davidson County",2024,175339
"Gaston County",2037,267300
"McDowell County",2013,44686
"Davidson County",2028,181184
"Gaston County",2041,275018
"McDowell County",2014,44538
"Davidson County",2031,185568
"Gaston County",2042,276947
"McDowell County",2016,44348
"Davidson County",2035,191413
"Gates County",2034,10016
"McDowell County",2028,44774
"Davidson County",2042,201641
"Gates County",2049,9999
"McDowell County",2031,44775
"Davidson County",2044,204566
"Graham County",2010,8846
"McDowell County",2036,44774
"Davie County",2013,41154
"Graham County",2016,8357
"McDowell County",2043,44772
"Davie County",2014,41012
"Graham County",2019,8043
"Mecklenburg County",2024,1185088
"Davie County",2022,43754
"Graham County",2021,8044
"Mecklenburg County",2027,1243166
"Davie County",2025,45158
"Graham County",2035,8117
"Mecklenburg County",2041,1521084
"Davie County",2028,46558
"Graham County",2040,8117
"Mitchell County",2017,14993
"Davie County",2039,51701
"Graham County",2041,8118
"Mitchell County",2018,15005
"Davie County",2042,53102
"Graham County",2044,8119
"Mitchell County",2020,14895
"Davie County",2045,54505
"Graham County",2049,8118
"Mitchell County",2022,14895
"Duplin County",2014,54961
"Graham County",2050,8121
"Mitchell County",2027,14698
"Duplin County",2021,48754
"Granville County",2018,60476
"Mitchell County",2030,14580
"Duplin County",2026,48772
"Granville County",2024,63507
"Mitchell County",2039,14247
"Duplin County",2032,48796
"Greene County",2016,20876
"Montgomery County",2019,25688
"Duplin County",2034,48802
"Greene County",2026,20121
"Montgomery County",2027,25736
"Duplin County",2042,48815
"Greene County",2027,20121
"Montgomery County",2029,25736
"Durham County",2010,271486
"Greene County",2029,20120
"Montgomery County",2032,25736
"Durham County",2012,282585
"Greene County",2036,20121
"Montgomery County",2041,25737
"Durham County",2027,355675
"Greene County",2042,20120
"Moore County",2021,102517
"Durham County",2031,374154
"Greene County",2050,20120
"Moore County",2026,114205
"Durham County",2032,378775
"Guilford County",2012,501968
"Moore County",2037,139989
"Durham County",2040,415735
"Guilford County",2014,512560
"Moore County",2041,149295
"Durham County",2043,429592
"Guilford County",2026,558089
"Nash County",2011,95664
"Durham County",2046,443454
"Guilford County",2034,596881
"Nash County",2012,94972
"Edgecombe County",2020,48820
"Guilford County",2046,659379
"Nash County",2027,95381
"Edgecombe County",2028,44218
"Halifax County",2024,46934
"Nash County",2034,95349
"Edgecombe County",2043,35497
"Halifax County",2028,45229
"Nash County",2047,95339
"Forsyth County",2012,357998
"Halifax County",2033,43096
"Nash County",2048,95337
"Forsyth County",2015,366725
"Halifax County",2040,40110
"New Hanover County",2015,215383
"Forsyth County",2016,370709
"Halifax County",2043,38831
"New Hanover County",2018,225193
"Forsyth County",2023,388365
"Harnett County",2023,143081
"New Hanover County",2020,226077
"Forsyth County",2038,436286
"Haywood County",2012,58890
"New Hanover County",2041,292176
"Forsyth County",2039,439710
"Haywood County",2023,63282
"New Hanover County",2043,298172
"Franklin County",2026,82678
"Haywood County",2025,64073
"New Hanover County",2048,313155
"Franklin County",2029,89658
"Haywood County",2029,65649
"Northampton County",2012,20916
"Franklin County",2030,91985
"Haywood County",2032,66832
"Northampton County",2021,17116
"Franklin County",2043,122237
"Haywood County",2044,71563
"Northampton County",2041,13983
"Franklin County",2050,138523
"Henderson County",2013,108249
"Northampton County",2050,12552
"Gaston County",2013,210384
"Henderson County",2016,112760
"Onslow County",2013,193264
"Alamance County",2016,160552
"Gaston County",2018,223748
"Henderson County",2018,115120
"Onslow County",2017,196022
"Alamance County",2027,186974
"Gaston County",2033,259646
"Henderson County",2024,118965
"Onslow County",2027,221723
"Alexander County",2046,36749
"Gaston County",2038,269232
"Henderson County",2031,127210
"Onslow County",2031,231371
"Alexander County",2047,36751
"Gaston County",2047,286578
"Henderson County",2038,136219
"Onslow County",2035,241019
"Alexander County",2050,36755
"Gaston County",2050,292357
"Henderson County",2046,146601
"Onslow County",2043,260314
"Alleghany County",2016,10916
"Gates County",2011,11895
"Hertford County",2010,24716
"Onslow County",2048,272374
"Alleghany County",2018,10924
"Gates County",2024,10195
"Hertford County",2019,22045
"Onslow County",2049,274785
"Alleghany County",2022,11132
"Gates County",2025,10153
"Hertford County",2025,19079
"Orange County",2019,147802
"Alleghany County",2024,11155
"Gates County",2026,10121
"Hertford County",2033,17937
"Orange County",2030,161272
"Alleghany County",2025,11165
"Graham County",2012,8698
"Hertford County",2041,16797
"Orange County",2033,165574
"Alleghany County",2029,11214
"Graham County",2018,8099
"Hertford County",2048,15799
"Orange County",2035,168428
"Alleghany County",2034,11269
"Graham County",2032,8111
"Hoke County",2014,49961
"Orange County",2042,178321
"Anson County",2014,25138
"Graham County",2048,8119
"Hyde County",2011,5734
"Pamlico County",2017,12514
"Anson County",2016,23957
"Granville County",2010,57674
"Hyde County",2016,5201
"Pamlico County",2030,12016
"Anson County",2023,21433
"Granville County",2011,57720
"Hyde County",2018,4722
"Pamlico County",2034,11875
"Anson County",2033,21143
"Granville County",2026,64960
"Hyde County",2044,3427
"Pamlico County",2035,11838
"Anson County",2036,21119
"Granville County",2028,66415
"Hyde County",2048,3244
"Pamlico County",2040,11662
"Anson County",2039,21107
"Granville County",2032,69328
"Iredell County",2014,168060
"Pamlico County",2043,11559
"Anson County",2042,21098
"Granville County",2033,70058
"Iredell County",2022,196170
"Pamlico County",2047,11416
"Ashe County",2011,26979
"Granville County",2050,82432
"Iredell County",2035,253627
"Pasquotank County",2021,40629
"Ashe County",2015,26350
"Greene County",2015,20685
"Iredell County",2043,288986
"Pasquotank County",2029,41291
"Ashe County",2018,26591
"Greene County",2021,20124
"Iredell County",2044,293408
"Pasquotank County",2034,41407
"Ashe County",2028,26706
"Greene County",2024,20119
"Jackson County",2011,40319
"Pasquotank County",2036,41432
"Ashe County",2029,26713
"Greene County",2025,20120
"Jackson County",2015,41186
"Pasquotank County",2050,41479
"Ashe County",2039,26775
"Guilford County",2024,550216
"Jackson County",2018,43022
"Pender County",2015,55984
"Ashe County",2042,26791
"Guilford County",2037,612383
"Jackson County",2023,43331
"Pender County",2019,59641
"Ashe County",2043,26796
"Guilford County",2040,628007
"Jackson County",2025,44050
"Pender County",2023,67729
"Ashe County",2045,26810
"Guilford County",2044,648913
"Jackson County",2049,52662
"Pender County",2040,85113
"Avery County",2013,17763
"Guilford County",2045,654146
"Johnston County",2019,211110
"Perquimans County",2018,13000
"Avery County",2016,17662
"Guilford County",2050,680324
"Johnston County",2024,250281
"Perquimans County",2019,13079
"Avery County",2026,17952
"Halifax County",2020,48581
"Johnston County",2029,277374
"Perquimans County",2025,13815
"Avery County",2036,17951
"Halifax County",2021,48214
"Johnston County",2043,346223
"Perquimans County",2026,13890
"Avery County",2045,17951
"Halifax County",2025,46508
"Johnston County",2045,356043
"Perquimans County",2028,13996
"Beaufort County",2026,43781
"Halifax County",2034,42669
"Johnston County",2048,370775
"Perquimans County",2030,14064
"Beaufort County",2027,43627
"Halifax County",2041,39684
"Johnston County",2050,380597
"Perquimans County",2044,14169
"Beaufort County",2033,42706
"Halifax County",2044,38402
"Jones County",2012,10240
"Perquimans County",2046,14171
"Beaufort County",2039,41781
"Halifax County",2046,37553
"Jones County",2013,10102
"Perquimans County",2050,14174
"Beaufort County",2044,41011
"Halifax County",2047,37123
"Jones County",2021,9202
"Person County",2011,39315
"Bertie County",2014,19750
"Halifax County",2048,36697
"Jones County",2022,9199
"Person County",2017,38846
"Bertie County",2017,18593
"Harnett County",2016,127836
"Jones County",2027,9195
"Person County",2022,39586
"Bertie County",2022,16933
"Harnett County",2050,204408
"Jones County",2031,9192
"Person County",2046,40588
"Bertie County",2023,16655
"Haywood County",2010,58895
"Jones County",2044,9192
"Pitt County",2013,170284
"Bertie County",2025,16293
"Haywood County",2011,59034
"Jones County",2050,9192
"Pitt County",2014,169407
"Bertie County",2042,13208
"Haywood County",2016,60742
"Lee County",2014,59487
"Pitt County",2015,169452
"Bertie County",2047,12298
"Haywood County",2021,62495
"Lee County",2015,59395
"Pitt County",2020,172254
"Bertie County",2050,11754
"Haywood County",2035,68014
"Lee County",2022,64907
"Pitt County",2022,172231
"Bladen County",2016,31470
"Haywood County",2050,73927
"Lee County",2028,69447
"Pitt County",2023,172005
"Bladen County",2017,30869
"Henderson County",2020,116519
"Lee County",2044,81275
"Pitt County",2032,181539
"Bladen County",2018,30418
"Henderson County",2025,119994
"Lee County",2045,82014
"Pitt County",2033,183315
"Bladen County",2023,29077
"Henderson County",2032,128481
"Lee County",2049,84974
"Pitt County",2041,199456
"Bladen County",2036,28749
"Hertford County",2024,19223
"Lenoir County",2010,59436
"Polk County",2014,19843
"Bladen County",2043,28944
"Hertford County",2036,17511
"Lenoir County",2013,58217
"Polk County",2017,19620
"Bladen County",2047,29085
"Hertford County",2043,16511
"Lenoir County",2022,54572
"Polk County",2026,19613
"Brunswick County",2011,109324
"Hoke County",2017,51769
"Lenoir County",2026,53466
"Polk County",2031,19639
"Brunswick County",2021,143550
"Hyde County",2015,5262
"Lenoir County",2027,53187
"Polk County",2036,19654
"Brunswick County",2027,178038
"Hyde County",2028,4225
"Lenoir County",2028,52911
"Polk County",2045,19663
"Brunswick County",2037,215626
"Hyde County",2030,4120
"Lenoir County",2030,52357
"Polk County",2046,19663
"Buncombe County",2015,256096
"Hyde County",2040,3617
"Lenoir County",2039,49862
"Polk County",2049,19665
"Buncombe County",2019,267372
"Hyde County",2042,3519
"Lincoln County",2021,89556
"Randolph County",2017,142789
"Buncombe County",2029,294700
"Iredell County",2012,163428
"Lincoln County",2025,95751
"Randolph County",2019,143550
"Buncombe County",2044,338289
"Iredell County",2020,187329
"Lincoln County",2026,96698
"Randolph County",2031,151868
"Burke County",2010,90464
"Iredell County",2048,311084
"Lincoln County",2033,105235
"Randolph County",2037,155914
"Burke County",2017,88216
"Iredell County",2049,315505
"Lincoln County",2034,106545
"Randolph County",2042,159288
"Burke County",2020,87619
"Iredell County",2050,319925
"Lincoln County",2035,107866
"Randolph County",2050,164684
"Burke County",2025,87840
"Jackson County",2010,40354
"Macon County",2019,36766
"Richmond County",2030,40794
"Burke County",2038,87641
"Jackson County",2013,40598
"Macon County",2028,39475
"Robeson County",2012,131216
"Burke County",2045,87528
"Jackson County",2022,42972
"Macon County",2030,40081
"Robeson County",2014,127382
"Burke County",2049,87465
"Jackson County",2030,45843
"Macon County",2035,41601
"Robeson County",2015,125709
"Cabarrus County",2023,240512
"Jackson County",2031,46202
"Macon County",2040,43116
"Robeson County",2018,119477
"Cabarrus County",2029,269421
"Johnston County",2010,169781
"Macon County",2050,46154
"Robeson County",2020,116500
"Cabarrus County",2035,298190
"Johnston County",2015,185945
"Madison County",2018,21282
"Robeson County",2036,120170
"Cabarrus County",2049,364644
"Johnston County",2020,217033
"Madison County",2030,22126
"Robeson County",2038,120349
"Caldwell County",2023,81075
"Johnston County",2032,292192
"Madison County",2031,22204
"Robeson County",2040,120492
"Caldwell County",2029,81247
"Johnston County",2039,326579
"Madison County",2039,22809
"Robeson County",2042,120608
"Caldwell County",2030,81250
"Johnston County",2040,331491
"Madison County",2048,23489
"Rockingham County",2014,91950
"Caldwell County",2037,81259
"Jones County",2014,9915
"Madison County",2049,23564
"Rockingham County",2020,91147
"Caldwell County",2038,81257
"Jones County",2023,9195
"Martin County",2017,22789
"Rockingham County",2032,92042
"Camden County",2017,10003
"Jones County",2030,9191
"Martin County",2020,22012
"Rockingham County",2033,92042
"Camden County",2028,12008
"Jones County",2033,9192
"Martin County",2027,20548
"Rockingham County",2034,92041
"Camden County",2036,12755
"Jones County",2036,9193
"Martin County",2032,19622
"Rockingham County",2035,92041
"Camden County",2038,12869
"Jones County",2041,9193
"Martin County",2036,18880
"Rockingham County",2041,92040
"Camden County",2046,13154
"Jones County",2049,9192
"McDowell County",2018,44714
"Rowan County",2019,145847
"Camden County",2048,13198
"Lee County",2030,70925
"McDowell County",2023,44773
"Rowan County",2025,152016
"Camden County",2049,13214
"Lee County",2035,74621
"McDowell County",2025,44772
"Rowan County",2036,160744
"Carteret County",2017,67855
"Lee County",2038,76840
"Mecklenburg County",2012,962026
"Rutherford County",2017,65046
"Carteret County",2024,69747
"Lee County",2043,80537
"Mecklenburg County",2015,1035479
"Rutherford County",2019,64694
"Carteret County",2038,75504
